"","dataset","Model","parameter","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"74","1","BLM1_fit_NoErrors","tau",377.212902311553,59.174790070606,274.015480860049,337.733680916771,375.344535103489,414.600612064842,497.346455523702,1.00078342009093,1500
"75","3","BLM1_fit","alpha",0.158523172177617,0.00938310072769689,0.141293988780999,0.151591209479804,0.158499016484671,0.165326163639184,0.176903724298733,1.14223364806353,21
"76","3","BLM1_fit","beta",0.0389176898965249,0.000811953182932502,0.0373291999350785,0.0383369522854466,0.0389205762131438,0.0395082900385564,0.040390735577522,1.15547100569753,20
"77","3","BLM1_fit","deviance",-5468.65548456355,44.9472957014158,-5553.00223951299,-5499.3741739372,-5469.71774131927,-5438.87201760792,-5379.08986985828,1.0026137861827,770
"78","3","BLM1_fit","tauy",1286.37807019209,84.2123817258623,1131.89353440643,1231.70774908418,1285.22131830959,1341.27036511727,1452.11320497524,1.00127160152217,1500
"79","3","BLM1_fit_NoErrors","alpha",0.159439023051981,0.0132539913623963,0.141894330917301,0.152782398839954,0.159329442746404,0.16553383112532,0.177121819355692,1.02232261564656,1500
"80","3","BLM1_fit_NoErrors","beta",0.038819184496259,0.00110273809289381,0.0373134683746427,0.0383163441356082,0.0388467969467053,0.0393798788342761,0.0403693893910503,1.20843501197197,1500
"81","3","BLM1_fit_NoErrors","deviance",-2634.80893732482,45.8326410130063,-2664.44084291644,-2647.59470253372,-2637.2986888609,-2625.9788574706,-2605.88248401181,1.0034979581455,1500
"82","3","BLM1_fit_NoErrors","tau",1269.37393727631,87.4713927642493,1127.46452948874,1216.284890386,1270.97369026258,1321.34781839448,1422.40113989991,1.00004892952524,1500
"83","3","BLM1_fit","alpha",0.152444297019067,0.0209164075355863,0.115107449230015,0.143061553038198,0.150619452425415,0.158449266265673,0.206015865067513,1.22579640404946,16
"84","3","BLM1_fit","beta",0.0395603650966184,0.00181803980611782,0.0350107965570866,0.0390279372920827,0.0397196290942108,0.040377364869672,0.0428334014220646,1.27519761485651,18
"85","3","BLM1_fit","deviance",-5626.65672514234,45.8420541691209,-5717.47431726389,-5657.97164477786,-5627.67181834906,-5596.47122413095,-5534.65446286264,1.00196730709556,1000
"86","3","BLM1_fit","tauy",1308.29809945375,100.21839619018,1134.040194757,1251.85649814328,1311.2006842385,1368.46019915769,1489.61336885639,1.0413393693044,250
"87","3","BLM1_fit_NoErrors","alpha",0.15511687789988,0.013610566202426,0.137803730297986,0.149137414714108,0.154922026791161,0.16035397096403,0.170931407616162,1.01424599591188,1500
"88","3","BLM1_fit_NoErrors","beta",0.0393159281735918,0.00124664235477859,0.0379438338024858,0.0388589127939234,0.0393280059541348,0.0398175285742739,0.0408033295263479,1.08939985356377,1500
"89","3","BLM1_fit_NoErrors","deviance",-2662.37991222965,48.2136308027534,-2693.67424932052,-2675.55209403513,-2664.98559621518,-2653.185870549,-2633.3086019682,1.00415790718694,1500
"90","3","BLM1_fit_NoErrors","tau",1312.4549529229,91.3832457841935,1174.0620129917,1257.62743314225,1310.78541075346,1367.08489726427,1471.39554303311,1.0014339591297,1500
