Publication,Code,AdditionalTaxonomicInfo,Genus,Species,CurrentGenus,CurrentSpecies,ForamEcogroup,EcoGroupPub,,Sample Name,Mineralogy,Lab,Forams,MarineMetazoa,Teeth,NaturalSynthetic,Mollusk,Lake,Corals,N,D47,D47error,Temperature_C,Temperature,TempError_C,TempError,d18O water,d18O water SD,Acid T,pH,Source,CDESorICDES,LARGEorSMALL,SyntheticVSForam,BenthicPlanktic
2014,Wacker,Bivalve,Spondylu,Spondylu ssp,Spondylu,Spondylu ssp,,,,Spondylussp,C,Goethe,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,10,0.587165,0.005998344,29,10.95354767,1,0.072,0.5,NA,90,,Petersen,CDES,Large,Neither,
2014,Wacker,,,,,,,,,Coldseepcc,C,Goethe,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,6,0.657013333,0.006103851,9,12.56145338,0.1,0.009,-1.77,NA,90,,Petersen,CDES,Large,Neither,
2014,Wacker,Eggshell,Struthio,Struthio camelus,Struthio,Struthio camelus,,,,Ostricheggshell,C,Goethe,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,15,0.574958,0.005291287,38,10.32905023,0.6,0.04,,,90,,Petersen,CDES,Large,Neither,
2014,Wacker,Foraminifera,Globigerinoides,Globigerinoides ruber,Globigerinoides,Globigerinoides ruber,1 Open ocean mixed-layer tropical/subtropical with symbionts,Aze et al 2011,,Gruber,C,Goethe,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,2,0.592845,0.014415,26,11.17434268,1,0.074,0.56,NA,90,,Petersen,CDES,Large,Neither,
2014,Wacker,Foraminifera,Globorotalia,Globorotalia inflata,Globoconella,Globoconella inflata,3 Open ocean thermocline,Aze et al 2011,,Ginflata,C,Goethe,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,2,0.625835,0.003875,14,12.12780928,1,0.084,,,90,,Petersen,CDES,Large,Neither,
2019,Davies,Tripneustes,Tripneustes,,,,,,,GA1,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.628,0.006,28.4,10.99718002,0.15,0.011,0.28,0.02,90,,,CDES,Large,Neither,
2019,Davies,Tripneustes,Tripneustes,,,,,,,GA2,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.621,0.005,27.8,11.04107359,0.15,0.011,0.28,0.02,90,,,CDES,Large,Neither,
2019,Davies,Tripneustes,Tripneustes,,,,,,,GLT,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,5,0.631,0.011,27.8,11.04107359,0.15,0.011,0.28,0.02,90,,,CDES,Large,Neither,
2019,Davies,Tripneustes,Tripneustes,,,,,,,GS,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.614,0.012,27.8,11.04107359,0.15,0.011,0.28,0.02,90,,,CDES,Large,Neither,
2019,Davies,Tripneustes,Tripneustes,,,,,,,GT,C,ImperialCollegeLondon,NonForaminifera,1,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.628,0.012,27.8,11.04107359,0.15,0.011,0.28,0.02,90,,,CDES,Large,Neither,
